Player,Current Team,Shot Team,Month,Year,Opponent,Opp. GK,Foot,Run up speed,Kick speed,X,Y,Result
Joe Corona,,San Diego Loyal,5,2023,Rio Grande Valley,None,Right,Medium,Fast,7,1,Goal
Joe Corona,,San Diego Loyal,5,2023,Orange County SC,None,Right,Medium,Fast,2,3,Goal
Joe Corona,,San Diego Loyal,4,2023,Seattle Sounders,None,Right,Medium,Medium,2,0,Goal
Joe Corona,,Club America,9,2018,Juarez,None,Right,Medium,Medium,2,1,Goal
Alejandro Guido,,San Diego Loyal,9,2022,Phoenix Rising,None,Right,Medium,Fast,7,0,Save
Alejandro Guido,,San Diego Loyal,9,2022,San Antonio FC,None,Right,Medium,Fast,4,0,Save
Alejandro Guido,,San Diego Loyal,6,2022,Orange County SC,None,Right,Medium,Medium,9,2,Goal
Charlie Adams,,San Diego Loyal,7,2023,Indy Eleven,None,Left,Medium,Medium,9,0,Goal
Charlie Adams,,San Diego Loyal,4,2023,FC Tulsa,None,Left,Medium,Slow,5,3,Miss
Charlie Adams,,San Diego Loyal,10,2022,New Mexico United,None,Left,Medium,Fast,8,0,Goal
Charlie Adams,,San Diego Loyal,8,2022,Monterey Bay FC,None,Left,Medium,Fast,7,1,Goal
Charlie Adams,,San Diego Loyal,10,2021,LA Galaxy II,None,Left,Medium,Medium,9,0,Goal
Blake Bodily,,Portland Timbers II,4,2022,Real Monarchs,None,Left,Medium,Medium,9,0,Goal
Blake Bodily,,Portland Timbers II,4,2022,Houston Dynamo II,None,Left,Medium,Medium,2,0,Goal
Blake Bodily,,Portland Timbers,11,2020,FC Dallas,None,Left,Medium,Fast,2,0,Goal
Ronaldo Damus,,San Diego Loyal,6,2023,Sacramento Republic,None,Right,Medium,Medium,9,1,Goal
Ronaldo Damus,,Orange County SC,11,2021,Oakland Roots,None,Right,Medium,Medium,2,0,Save
Ronaldo Damus,,Orange County SC,11,2021,Oakland Roots,None,Right,Medium,Medium,9,1,Goal
Ronaldo Damus,,North Texas SC,9,2020,FC Tuscon,None,Right,Medium,Medium,2,0,Goal
Ronaldo Damus,,North Texas SC,9,2019,Orlando City II,None,Right,Medium,Medium,3,0,Goal
Phanuel Kavita,,Birmingham Legion,10,2022,Pittsburgh Riverhounds,None ,Right,Medium,Fast,2,1,Goal
